"package","firstDownload","lastDownload","totalDownloads"
"bayou","2015-10-25","2016-10-02",4296
"BaySIC","2013-04-04","2016-10-02",10673
"BAYSTAR","2013-09-27","2016-10-02",15513
"BB","2014-11-07","2016-10-02",64555
"bbefkr","2014-04-29","2016-10-02",6995
"bbemkr","2014-04-05","2016-10-02",10764
"BBEST","2016-03-09","2016-10-02",1611
"BBmisc","2016-07-13","2016-10-02",13702
"bbmle","2016-02-11","2016-10-02",22065
"BBMM","2013-03-08","2016-10-02",14169
"bbo","2014-09-18","2016-10-02",6501
"BBRecapture","2013-12-20","2016-10-02",8647
"bc3net","2015-12-31","2016-10-02",2826
"BCA","2014-09-04","2016-10-02",16058
"BCBCSF","2015-09-26","2016-10-02",4461
"BCDating","2014-12-30","2016-10-02",6590
"BcDiag","2015-10-17","2016-10-02",3555
"BCE","2014-05-22","2016-10-02",11032
"BCEA","2016-05-22","2016-10-02",1384
"BCEE","2015-11-04","2016-10-02",2710
"BCEs0","2015-08-07","2016-10-02",3888
"Bchron","2016-08-02","2016-10-02",1215
"Bclim","2016-06-13","2016-10-02",879
"bclust","2015-09-15","2016-10-02",5944
"bcp","2015-07-15","2016-10-02",8860
"bcpa","2014-11-02","2016-10-02",7848
"bcpmeta","2014-06-22","2016-10-02",6701
"BCRA","2015-04-30","2016-10-02",4246
"bcRep","2016-06-06","2016-10-02",902
"bcrm","2015-11-20","2016-10-02",3350
"bcrypt","2015-06-18","2016-10-02",4190
"bcv","2015-05-22","2016-10-02",8770
"bda","2015-07-29","2016-10-02",4635
"bde","2015-02-16","2016-10-02",5256
"BDgraph",NA,"2016-10-02",0
"bdots","2016-08-16","2016-10-02",365
"bdpopt","2016-03-30","2016-10-02",1070
"bdpv","2014-03-06","2016-10-02",8609
"bdrift","2016-04-06","2016-10-02",916
"bdscale","2016-03-17","2016-10-02",1533
"bdsmatrix","2014-08-22","2016-10-02",125736
"bdvis","2016-05-20","2016-10-02",1086
"BDWreg","2016-01-12","2016-10-02",1827
"bdynsys","2014-12-08","2016-10-02",6199
"beadarrayFilter","2013-02-07","2016-10-02",9619
"beadarrayMSV","2012-10-06","2016-10-02",11201
"beanplot","2014-09-19","2016-10-02",39597
"BEANSP","2014-09-19","2016-10-02",6418
"beanz","2016-07-29","2016-10-02",311
"BEDASSLE","2014-12-04","2016-10-02",7042
"BEDMatrix","2016-09-28","2016-10-02",61
"bedr","2016-08-23","2016-10-02",505
"beepr","2015-06-14","2016-10-02",13209
"beeswarm","2016-04-25","2016-10-02",9867
"belex","2016-08-05","2016-10-02",231
"benchden","2012-10-10","2016-10-02",13310
"benchmark","2014-05-02","2016-10-02",11930
"Benchmarking","2015-07-08","2016-10-02",9430
"benchmarkme","2016-06-25","2016-10-02",1341
"benchmarkmeData","2016-06-20","2016-10-02",1290
"benford.analysis","2016-05-08","2016-10-02",1587
"BenfordTests","2015-08-04","2016-10-02",6280
"bentcableAR","2015-04-10","2016-10-02",6861
"BEQI2","2015-01-07","2016-10-02",6177
"ber","2013-03-12","2016-10-02",11029
"Bergm","2014-11-24","2016-10-02",8292
"berryFunctions","2016-09-27","2016-10-02",131
"Bessel","2013-12-10","2016-10-02",23149
"BEST","2015-12-28","2016-10-02",5635
"bestglm","2014-03-03","2016-10-02",38671
"BetaBit","2016-07-30","2016-10-02",437
"betafam","2012-11-01","2016-10-02",10016
"betalink","2016-03-26","2016-10-02",1382
"betapart","2013-12-12","2016-10-02",15960
"betaper","2012-11-01","2016-10-02",11654
"betareg","2016-08-06","2016-10-02",6431
"betas","2015-03-13","2016-10-02",4770
"betategarch","2014-09-18","2016-10-02",10466
"bethel","2012-11-01","2016-10-02",10699
"BeviMed","2016-07-05","2016-10-02",565
"bezier","2014-07-18","2016-10-02",7756
"bfa","2016-09-29","2016-10-02",100
"bfast","2014-08-28","2016-10-02",14632
"bfork","2016-01-04","2016-09-29",613
"bfp","2016-05-30","2016-10-02",1432
"bgeva","2015-01-15","2016-10-02",5946
"bglm","2014-11-20","2016-10-02",5845
"BGLR","2016-08-19","2016-10-02",874
"bgmfiles","2016-08-10","2016-10-02",263
"bgmm","2014-12-19","2016-10-02",9001
"BGPhazard","2016-02-11","2016-10-02",2260
"BGSIMD","2012-11-01","2016-10-02",11710
"BH","2016-05-07","2016-10-02",565915
"Bhat","2013-01-17","2016-10-02",13628
"BHH2","2016-05-31","2016-10-02",2795
"biasbetareg","2012-10-06","2016-10-02",10243
"BiasedUrn","2015-12-28","2016-10-02",24890
"bib2df","2016-08-09","2016-10-02",254
"bibliometrix","2016-09-07","2016-10-02",218
"bibliospec","2016-07-01","2016-10-02",474
"bibtex","2014-12-31","2016-10-02",33708
"biclust","2015-05-12","2016-10-02",47385
"BiDimRegression","2014-03-22","2016-10-02",8854
"bifactorial","2013-03-04","2016-10-02",12344
"bife","2016-07-29","2016-10-02",279
"BIFIEsurvey","2016-06-01","2016-10-02",3482
"bigalgebra","2014-04-16","2016-10-02",3742
"biganalytics","2016-02-18","2016-10-02",6645
"bigdata","2012-10-06","2016-10-02",13951
"BIGDAWG","2016-08-31","2016-10-02",281
"bigGP","2015-07-08","2016-09-30",1245
"biglars","2012-10-10","2016-10-02",13222
"biglasso","2016-03-02","2016-10-02",1352
"biglm","2013-05-16","2016-10-02",72772
"bigmemory","2016-03-28","2016-10-02",20416
"bigmemory.sri","2014-08-18","2016-10-02",37387
"bigml","2015-05-20","2016-10-02",4856
"bigpca","2015-11-08","2016-10-02",1259
"bigQueryR","2016-08-12","2016-10-02",1055
